Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
India,IND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,66.8,70.5,74.5,..
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.5,99.6,99.2,..
India,IND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99,100,100,..
India,IND,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..,4,..,..
India,IND,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..,22.3,..,..
India,IND,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,44.76326635,45.05683001,45.26193016,..
India,IND,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,..,..,..
India,IND,Women who believe a husband is justified in beating his wife when she neglects the children (%),SG.VAW.NEGL.ZS,..,35.9,..,..
India,IND,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,..,20.9,..,..
India,IND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,74.375,74.375,74.375,74.375
India,IND,Wholesale price index (2010 = 100),FP.WPI.TOTL,135.8159371,150.4379812,..,..
India,IND,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,1.6,..,..
India,IND,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,3.913251609,..,..,..
India,IND,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,22.79816635,23.34589768,23.13035964,..
India,IND,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,23.26543236,23.8806972,23.75249682,..
India,IND,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,21.41787505,21.79712898,21.36436098,..
India,IND,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,75.07617572,74.55330651,74.00241763,..
India,IND,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,74.04420674,73.44983278,72.61094383,..
India,IND,Voice and Accountability: Percentile Rank,VA.PER.RNK,52.65700531,50.72463608,49.27536392,..
India,IND,Voice and Accountability: Number of Sources,VA.NO.SRC,12,12,12,..
India,IND,Voice and Accountability: Estimate,VA.EST,0.126321062,0.090988867,0.050905809,..
India,IND,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,..,..,3.6,..
India,IND,Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,..,4.4,..,..
India,IND,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..,..,..,..
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.926,35.393,35.872,36.364
India,IND,Urban land area (sq. km),AG.LND.TOTL.UR.K2,..,..,..,..
India,IND,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,..,..,..,..
India,IND,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,..,..,..,..
India,IND,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,24.541,20.684,17.856,15.469
India,IND,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,24.595,20.859,17.825,15.788
India,IND,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,24.292,20.842,17.471,15.429
India,IND,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,24.519,21.094,17.534,15.827
India,IND,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,25.537,20.08,19.262,15.583
India,IND,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,24.88,19.953,18.867,15.668
India,IND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.859,6.38,4.822,4.172
India,IND,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,6.764,5.402,4.588,4.063
India,IND,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.226,6.717,4.905,4.218
India,IND,Tuberculosis treatment success rate (% of new cases),SH.TBS.CURE.ZS,85,87,..,..
India,IND,"Tuberculosis case detection rate (%, all forms)",SH.TBS.DTEC.ZS,59,70,80,..
India,IND,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,17.29393933,22.23315601,24.75084051,16.64834525
India,IND,"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,10.23455259,12.19228572,12.13204878,8.701362052
India,IND,"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,80.51399994,90.27999878,91.29799652,91.61199951
India,IND,"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,83.1989975,92.56800079,93.05000305,93.31999969
India,IND,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,81.68299866,91.28399658,92.07700348,92.38400269
India,IND,"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,79.43699646,89.22000122,89.83000183,91.60500336
India,IND,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,81.1190033,90.28199768,90.81099701,92.43499756
India,IND,Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,80.22000122,89.71700287,90.29299927,92.0039978
India,IND,"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,78.55899811,90.19999695,89.14199829,92.66000366
India,IND,"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,77.09600067,88.95400238,88.31099701,91.18099976
India,IND,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,77.74900055,89.50800323,88.67900085,91.8219986
India,IND,"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,0,0,76.61799622,70.70600128
India,IND,"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,89.74575806,89.48400116,96.01399994,94.58499908
India,IND,Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,83.76722717,83.62200165,94.77300262,92.95899963
India,IND,"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,78.38899994,88.16000366,88.29499817,91.59799957
India,IND,"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,79.5,88.45899963,88.9240036,91.67700195
India,IND,Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,78.93399811,88.30799866,88.60800171,91.63800049
India,IND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,1.784669207,3.159345376,..,..
India,IND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,3200820.626,..,..,..
India,IND,Total fisheries production (metric tons),ER.FSH.PROD.MT,13299483.01,14433204.98,15774324.95,..
India,IND,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,..,..,..,..
India,IND,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,2.893850944,1.574926063,1.936532244,..
India,IND,Time required to build a warehouse (days),IC.WRH.DURS,..,..,..,..
India,IND,Time required to enforce a contract (days),IC.LGL.DURS,..,..,..,..
